Birth_Country,Age_0-5,Age_6-10,Age_11-15,Age_16-20,Age_20+,9th_Grade,12th_Grade,HS_Dropout,HS_Grad,College_2_Yr,Bach_Degree,Adv_Degree,College_Enroll_18-24,College_Enroll_25+,Median_Income_FT,Median_Income_PT,Income_0-25k,Income_25k-48k,Income_48k-77k,Income_77k-125k,Income_125k+,Management,Science_and_Eng,"Legal,_Social_Service",Education_and_arts,Health_care,Food_prep-serve,Cleaning_and_maint,Other_services,Sales,Administrative,Farming_&_fishing,Construction,Manufacturing,Transportation,Military,Unemployed
US,0,0,0,0,0,"4,380,278","11,086,857","587,488","51,286,386","56,959,420","37,458,246","22,796,623","11,682,646","7,204,033","49,000","35,000","20,744,178","20,248,951","20,666,522","21,103,134","20,231,215","20,010,377","8,318,530","4,578,675","13,573,179","13,995,427","9,570,999","4,183,259","8,377,235","17,391,363","19,613,568","916,886","7,269,547","11,784,060","12,504,870","556,905","1,317,281"
Mexico,"928,523","775,875","1,485,420","2,238,925","5,753,368","3,557,555","1,818,941","26,761","2,619,905","1,327,496","524,225","194,147","183,810","209,634","30,000","26,000","1,117,832","1,260,632","1,064,728","745,267","361,893","367,891","111,490","60,568","215,812","312,621","821,912","787,212","216,708","494,685","482,108","473,083","1,316,937","1,001,810","851,937","6,356","68,478"
Eastand_Southeast_Asia,"1,500,243","946,080","926,337","941,610","4,334,258","761,904","471,609","3,533","1,341,724","1,507,372","2,117,941","1,414,465","409,655","407,299","50,000","39,000","645,308","522,321","559,489","694,044","930,333","770,393","701,074","97,458","448,148","797,190","447,055","146,691","388,236","525,913","559,092","15,351","87,448","465,487","297,208","10,277","39,188"
Central_Asia,"38,881","21,083","20,612","17,039","34,239","2,938","2,164",0,"16,565","22,521","32,253","25,411","6,582","6,018","45,000","32,000","13,465","7,659","9,633","9,685","10,376","10,560","6,254","1,656","6,787","17,153","4,373","2,776","5,757","7,961","7,078",0,"4,097","5,342","11,118",83,509
South_Asia,"1,148,791","589,390","446,589","470,990","1,013,222","162,268","146,226","2,590","287,480","320,697","1,003,877","1,245,365","138,318","167,468","80,000","62,000","152,752","153,246","200,924","333,207","628,139","410,795","744,866","29,391","172,756","260,796","82,534","27,050","62,512","273,505","157,368","3,970","18,523","92,958","149,425","1,178","24,066"
Oceania,"61,091","28,265","32,969","34,158","89,888","12,426","14,294",0,"51,353","53,714","48,792","28,727","9,766","8,358","56,000","40,000","12,483","17,258","16,351","20,960","28,837","28,858","15,152","4,219","17,184","16,466","10,321","5,240","8,889","16,158","17,864","1,325","4,977","12,533","12,690",416,"1,696"
Europe,"657,376","358,714","414,540","634,284","2,783,356","271,588","217,141","2,150","957,705","1,003,116","967,403","994,478","119,999","151,064","62,000","48,600","464,035","403,162","394,804","441,374","636,009","512,774","319,008","70,541","329,190","302,199","128,770","105,995","141,259","276,968","302,874","6,559","150,276","191,971","183,436","4,055","15,986"
Canada_and_Other_North_America,"151,646","67,457","62,946","87,060","457,984","19,168","33,442",547,"124,331","196,924","207,485","163,790","27,383","27,142","77,000","56,000","72,741","58,409","70,938","72,963","135,332","105,201","58,508","18,262","67,957","60,699","14,727","6,934","17,993","53,662","53,519","2,097","14,822","20,568","21,666",322,"1,594"
Caribbean,"768,542","576,927","470,081","479,039","2,169,302","469,118","413,320","7,512","1,173,233","987,259","562,591","314,062","103,288","185,647","35,000","29,400","526,856","430,911","386,883","319,706","253,729","227,531","83,025","65,335","157,404","466,385","178,265","223,699","187,967","255,489","296,439","9,904","165,738","238,654","380,618","3,388","38,632"
Central_America,"657,604","367,185","559,321","537,020","1,469,200","990,157","409,274","24,440","780,777","503,784","234,528","89,029",0,"84,037","30,000","25,200","313,847","364,005","302,928","233,591","142,635","131,186","38,518","22,168","75,202","109,156","253,526","340,261","90,115","157,791","160,879","48,009","472,636","275,088","278,768","3,605","21,807"
South_America,"706,779","292,896","366,750","626,399","1,311,556","230,349","173,220","3,326","773,149","729,619","610,168","377,705","101,943","161,581","40,000","31,200","260,250","267,990","282,476","269,308","251,520","273,881","118,525","47,565","190,601","182,905","156,627","220,492","128,878","226,007","243,198","5,649","192,749","170,932","195,344","2,521","15,344"
Middle_East-North_Africa,"432,957","276,164","183,893","205,151","686,733","115,167","70,133","1,402","285,768","289,606","418,472","342,688","76,004","121,530","60,000","40,000","197,391","136,843","126,084","129,897","194,614","155,525","116,494","20,330","122,535","115,503","60,899","22,133","45,021","175,309","89,201","1,283","24,539","68,020","94,700",570,"14,942"
Sub-Saharan_Africa,"547,733","379,302","330,441","303,174","471,820","125,101","76,093","2,499","330,351","432,143","378,827","272,735","107,937","199,896","42,000","32,000","183,461","182,741","181,513","166,382","140,541","141,661","92,680","44,282","81,342","335,065","66,173","68,446","77,875","116,271","121,349","2,160","22,537","107,910","193,221","1,993","16,584"
